姓名,性别,年龄,婚姻状况,受教育程度,人生阶段,是否有车,通勤距离,通勤方式,职业,家庭编号,预期行为,行为时间,回家时间,house_ue_id,AGE,SEX,IDENTITY_ID,id,age_type
沈娜纯,女,98,已婚,小学及以下,上班族,有车,15-30分钟,公共交通,社会保障/公共管理,895,去工作地,8时1分,18时43分,YSHY_6_1_018F_04,98,女性,5bbdc9d6-262d-4698-8db5-b3278a659034,5bbdc9d6-262d-4698-8db5-b3278a659034,old
沈超,男,28,未婚,初中,上班族,无车,15分钟内,公共交通,房地产,1466,去工作地,7时45分,18时42分,YSHY_7_1_019F_03,28,男性,ad73f9e4-757a-47f6-88b3-76815ae96826,ad73f9e4-757a-47f6-88b3-76815ae96826,teenager
马凛梓,男,44,未婚,小学及以下,自由职业,有车,15分钟内,公共交通,自然资源,1467,去小区公共场所,11时8分,15时54分,YSHY_13_1_021F_03,44,男性,a98e7bb5-4eeb-4eb4-ba77-0d66a38fa5ee,a98e7bb5-4eeb-4eb4-ba77-0d66a38fa5ee,middle-aged
吴莉梦,女,56,未婚,本科,退休,有车,15分钟内,公共交通,教育,1468,去小区商场,9时43分,14时56分,YSHY_13_1_027F_01,56,女性,3d98e225-3244-403b-bab7-4093bb34ed3f,3d98e225-3244-403b-bab7-4093bb34ed3f,old
孙涛志,男,7,未婚,小学及以下,未成年学生,无车,60分钟以上,公共交通,学生,1066,去学校,7时23分,15时57分,YSHY_10_1_008F_02,7,男性,f6936c89-8e7e-42e5-b070-63bc788f83fc,f6936c89-8e7e-42e5-b070-63bc788f83fc,child
肖紫,女,27,未婚,小学及以下,上班族,无车,15分钟内,公共交通,交通运输/仓储/邮政,1469,去工作地,7时44分,18时32分,YSHY_9_1_009F_04,27,女性,9b7f0257-6a2d-4ef8-9c00-32ad2a3db6da,9b7f0257-6a2d-4ef8-9c00-32ad2a3db6da,teenager
曹舟,男,42,已婚,本科,上班族,无车,60分钟以上,驾车,交通运输/仓储/邮政,55,去工作地,7时43分,18时39分,YSHY_10_1_019F_03,42,男性,22177587-3312-4e37-beda-26df0b3d7319,22177587-3312-4e37-beda-26df0b3d7319,middle-aged
胡杰,男,56,未婚,本科,自由职业,有车,15分钟内,公共交通,社会保障/公共管理,1470,去小区公共场所,11时38分,13时7分,YSHY_8_1_016F_04,56,男性,71b53215-8e1e-459f-af3c-311716b6da85,71b53215-8e1e-459f-af3c-311716b6da85,old
郭俊磊,男,2,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,373,去学校,7时24分,15时59分,YSHY_10_1_005F_02,2,男性,6fb65fc2-e633-4ff6-ac19-4807d38f5e68,6fb65fc2-e633-4ff6-ac19-4807d38f5e68,child
袁凛宗,男,16,未婚,初中,上班族,无车,15-30分钟,驾车,住宿/餐饮,381,去工作地,7时19分,19时7分,YSHY_5_1_010F_03,16,男性,61b491d6-3d39-4b27-b28d-3d023a03b99a,61b491d6-3d39-4b27-b28d-3d023a03b99a,child
朱洋政,男,52,已婚,小学及以下,上班族,无车,30-60分钟,驾车,教育,56,去工作地,7时42分,19时45分,YSHY_12_1_004F_02,52,男性,5293a529-62d0-46f1-b46d-6d8f839ac5eb,5293a529-62d0-46f1-b46d-6d8f839ac5eb,middle-aged
马艳,女,59,已婚,小学及以下,退休,有车,15分钟内,公共交通,社会保障/公共管理,562,去小区商场,10时42分,16时4分,YSHY_7_1_015F_01,59,女性,1190d783-36ca-43f8-bbcc-474e94114db6,1190d783-36ca-43f8-bbcc-474e94114db6,old
徐学浩,男,57,已婚,初中,上班族,有车,15分钟内,驾车,制造业,57,去工作地,7时39分,19时37分,YSHY_12_1_006F_03,57,男性,35a9f298-c271-456e-a5d1-b30e649cc1fb,35a9f298-c271-456e-a5d1-b30e649cc1fb,old
黄文浩,男,57,未婚,小学及以下,上班族,无车,60分钟以上,公共交通,社会保障/公共管理,1471,去工作地,7时17分,18时25分,YSHY_10_1_007F_01,57,男性,37b3ff64-de2f-46ae-8e23-0324dec01f1c,37b3ff64-de2f-46ae-8e23-0324dec01f1c,old
孙文武,男,21,未婚,小学及以下,上班族,有车,15分钟内,驾车,卫生/公共安全,816,去工作地,7时42分,18时20分,YSHY_12_1_023F_01,21,男性,17d8769f-9624-4bc2-a87d-a520f2100083,17d8769f-9624-4bc2-a87d-a520f2100083,teenager
杨静敏,女,22,未婚,小学及以下,上班族,有车,15-30分钟,驾车,教育,1472,去工作地,7时31分,19时20分,YSHY_9_1_010F_04,22,女性,bf1637bd-e095-417d-bebc-e4caa7cae202,bf1637bd-e095-417d-bebc-e4caa7cae202,teenager
蒋杰,男,12,未婚,小学及以下,未成年学生,无车,60分钟以上,公共交通,学生,793,去学校,7时25分,16时59分,YSHY_1_1_016F_04,12,男性,2201e403-fa1d-44ff-9be1-474845d513a9,2201e403-fa1d-44ff-9be1-474845d513a9,child
韩军波,男,47,未婚,小学及以下,上班族,有车,30-60分钟,驾车,制造业,1403,去工作地,8时9分,18时15分,YSHY_3_1_025F_01,47,男性,c60de00c-c3d8-4980-aacb-d18dd9ab5503,c60de00c-c3d8-4980-aacb-d18dd9ab5503,middle-aged
郭宗泽,男,63,未婚,小学及以下,退休,无车,15分钟内,驾车,社会保障/公共管理,1473,去小区商场,10时9分,15时18分,YSHY_11_1_006F_01,63,男性,58959a45-37c1-4225-be2c-59c9b1e298a2,58959a45-37c1-4225-be2c-59c9b1e298a2,old
吕梓,男,26,未婚,小学及以下,上班族,有车,15分钟内,驾车,建筑,1474,去工作地,7时37分,17时28分,YSHY_12_1_022F_04,26,男性,c77ac062-a5e4-40bb-8560-c51bd67e5d91,c77ac062-a5e4-40bb-8560-c51bd67e5d91,teenager
邓芳艳,女,12,未婚,小学及以下,未成年学生,无车,15分钟内,公共交通,学生,471,去学校,7时33分,17时0分,YSHY_2_1_012F_03,12,女性,78095ad1-0692-4eca-8175-5c4ff971006f,78095ad1-0692-4eca-8175-5c4ff971006f,child
周勇,男,57,已婚,小学及以下,上班族,有车,15-30分钟,公共交通,自然资源,58,去工作地,7时30分,19时11分,YSHY_8_1_020F_04,57,男性,be0388e2-8712-42d7-b4e8-906aaa469379,be0388e2-8712-42d7-b4e8-906aaa469379,old
蒋博泽,男,54,未婚,本科,上班族,有车,30-60分钟,驾车,教育,1475,去工作地,7时24分,17时16分,YSHY_2_1_023F_03,54,男性,c106e563-1f0d-4c2a-b09d-e8fb2983ffba,c106e563-1f0d-4c2a-b09d-e8fb2983ffba,middle-aged
郭宇,男,95,已婚,小学及以下,自由职业,无车,15-30分钟,公共交通,教育,59,去小区公共场所,10时46分,16时37分,YSHY_12_1_022F_03,95,男性,8c6e2f91-1344-4536-8beb-e8bf1972233b,8c6e2f91-1344-4536-8beb-e8bf1972233b,old
谢博光,男,9,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,1249,去学校,7时30分,16时1分,YSHY_2_1_009F_04,9,男性,a1733b94-b001-49e2-8839-4dc6dfc40c0f,a1733b94-b001-49e2-8839-4dc6dfc40c0f,child
何梦静,女,21,未婚,小学及以下,上班族,有车,15分钟内,驾车,金融,1476,去工作地,7时15分,18时1分,YSHY_13_1_009F_04,21,女性,e21303e2-c42d-479c-8ef6-88d248fa9ba2,e21303e2-c42d-479c-8ef6-88d248fa9ba2,teenager
杜珺,女,38,已婚,高中,上班族,无车,30-60分钟,驾车,制造业,236,去工作地,8时3分,19时12分,YSHY_12_1_019F_02,38,女性,6311e424-72fe-42ba-a3e9-b72994f40e6e,6311e424-72fe-42ba-a3e9-b72994f40e6e,teenager
吕勋,男,33,已婚,初中,上班族,有车,60分钟以上,驾车,租赁/商务服务,60,去工作地,7时56分,17时51分,YSHY_10_1_028F_01,33,男性,7ee2c4b2-15f5-4dd2-aa9e-081dee984cc2,7ee2c4b2-15f5-4dd2-aa9e-081dee984cc2,teenager
彭彦,男,55,未婚,小学及以下,自由职业,无车,60分钟以上,公共交通,制造业,779,去小区公共场所,11时14分,17时2分,YSHY_5_1_007F_03,55,男性,ce8df448-18e8-45e6-94f0-255bc23ea813,ce8df448-18e8-45e6-94f0-255bc23ea813,old
陈武泽,男,32,未婚,小学及以下,上班族,无车,15-30分钟,驾车,批发和零售,1113,去工作地,8时7分,17时51分,YSHY_7_1_018F_03,32,男性,be4efcd1-0072-4693-a7ae-744990591570,be4efcd1-0072-4693-a7ae-744990591570,teenager
杜鹏彦,男,9,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,308,去学校,7时33分,16时0分,YSHY_13_1_019F_04,9,男性,444f82da-2a6d-4b02-a795-c9cbd97ad6b8,444f82da-2a6d-4b02-a795-c9cbd97ad6b8,child
彭馨秀,女,14,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,419,去学校,7时29分,17时38分,YSHY_6_1_025F_01,14,女性,6c027990-aba4-468f-b1c2-ef3174a1213a,6c027990-aba4-468f-b1c2-ef3174a1213a,child
孙军,男,43,已婚,小学及以下,上班族,有车,15-30分钟,驾车,科研,61,去工作地,7时40分,18时55分,YSHY_4_1_023F_03,43,男性,cbe5ad2e-67f2-4872-b21c-7fcb64648d9f,cbe5ad2e-67f2-4872-b21c-7fcb64648d9f,middle-aged
杜美燕,女,25,未婚,小学及以下,上班族,有车,15-30分钟,驾车,金融,1477,去工作地,7时21分,19时11分,YSHY_10_1_006F_02,25,女性,6dd0e77e-a8ab-4780-8bf5-9aeb47c0f74a,6dd0e77e-a8ab-4780-8bf5-9aeb47c0f74a,teenager
郑钊,男,51,未婚,小学及以下,上班族,无车,15-30分钟,驾车,制造业,1478,去工作地,7时6分,18时21分,YSHY_6_1_004F_01,51,男性,b8322269-e81b-4079-918e-e2445c09bf46,b8322269-e81b-4079-918e-e2445c09bf46,middle-aged
田立舟,男,48,未婚,小学及以下,上班族,有车,60分钟以上,驾车,租赁/商务服务,1280,去工作地,7时29分,18时36分,YSHY_8_1_018F_02,48,男性,3fc07e0a-48f3-420c-98a0-a668120e4128,3fc07e0a-48f3-420c-98a0-a668120e4128,middle-aged
于建武,男,6,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,558,去学校,7时29分,16时0分,YSHY_11_1_024F_02,6,男性,a7871d11-9a42-4fac-8a32-0f24f46c45ec,a7871d11-9a42-4fac-8a32-0f24f46c45ec,child
魏美红,女,19,未婚,初中,上班族,无车,15-30分钟,驾车,信息/软件技术,1479,去工作地,7时44分,18时37分,YSHY_6_1_026F_04,19,女性,3435d0c2-621f-44d3-b507-0a8bf9132422,3435d0c2-621f-44d3-b507-0a8bf9132422,teenager
苏琴纯,女,49,已婚,小学及以下,上班族,有车,15分钟内,其他,建筑,1064,去工作地,7时5分,17时20分,YSHY_2_1_018F_03,49,女性,f9ff6c27-4401-45a0-aa84-947828503749,f9ff6c27-4401-45a0-aa84-947828503749,middle-aged
田紫倩,女,23,未婚,初中,上班族,无车,15-30分钟,步行,房地产,1480,去工作地,7时33分,19时11分,YSHY_4_1_010F_04,23,女性,c4bd9a9f-4ad2-4548-836d-84dae6eda33e,c4bd9a9f-4ad2-4548-836d-84dae6eda33e,teenager
彭志,男,28,已婚,小学及以下,上班族,无车,15-30分钟,驾车,社会保障/公共管理,62,去工作地,7时57分,17时31分,YSHY_12_1_027F_01,28,男性,397845e8-62b4-41eb-b5e3-8469ebe2a8bf,397845e8-62b4-41eb-b5e3-8469ebe2a8bf,teenager
彭紫,女,34,已婚,高中,上班族,有车,15-30分钟,公共交通,教育,273,去工作地,7时27分,17时58分,YSHY_9_1_007F_01,34,女性,601c00aa-7b6c-44d3-8a55-736115c27367,601c00aa-7b6c-44d3-8a55-736115c27367,teenager
周紫,女,8,未婚,小学及以下,未成年学生,无车,15分钟内,公共交通,学生,677,去学校,7时27分,16时4分,YSHY_4_1_017F_03,8,女性,aa0d08f2-41fd-4f1d-9114-f738a3f8ce86,aa0d08f2-41fd-4f1d-9114-f738a3f8ce86,child
杨豪,男,13,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,892,去学校,7时29分,17时28分,YSHY_5_1_010F_02,13,男性,2902ec09-c73d-4010-9346-305318bd7d71,2902ec09-c73d-4010-9346-305318bd7d71,child
高立,男,5,未婚,小学及以下,未成年学生,无车,30-60分钟,公共交通,学生,569,去学校,7时30分,15时59分,YSHY_11_1_022F_02,5,男性,d419cdfd-b88f-4de0-ac06-bd6917f553be,d419cdfd-b88f-4de0-ac06-bd6917f553be,child
丁志,男,31,未婚,小学及以下,上班族,有车,15分钟内,步行,制造业,1481,去工作地,7时40分,18时34分,YSHY_11_1_018F_02,31,男性,936a529d-fbe2-479f-8290-652aa8e4ee5c,936a529d-fbe2-479f-8290-652aa8e4ee5c,teenager
罗泽,男,73,未婚,小学及以下,退休,无车,15分钟内,公共交通,批发和零售,365,去小区商场,8时41分,13时53分,YSHY_13_1_005F_01,73,男性,0c91cdb7-335c-4fb2-99db-6272202c4570,0c91cdb7-335c-4fb2-99db-6272202c4570,old
宋洁洁,女,33,已婚,小学及以下,上班族,无车,60分钟以上,公共交通,住宿/餐饮,360,去工作地,7时46分,18时54分,YSHY_12_1_012F_01,33,女性,a55ca408-ba85-4e49-96a7-ae9c19499bef,a55ca408-ba85-4e49-96a7-ae9c19499bef,teenager
赵斯,女,49,已婚,初中,上班族,有车,15分钟内,驾车,制造业,830,去工作地,7时34分,17时52分,YSHY_2_1_002F_03,49,女性,2f369e28-b851-4898-8002-cc76444e214c,2f369e28-b851-4898-8002-cc76444e214c,middle-aged
程艳,女,33,已婚,小学及以下,上班族,无车,15-30分钟,公共交通,制造业,738,去工作地,7时29分,18时5分,YSHY_9_1_009F_04,33,女性,f2a89fbb-460b-4276-97b1-e4cd17305435,f2a89fbb-460b-4276-97b1-e4cd17305435,teenager
陈妍,女,67,已婚,小学及以下,退休,有车,15分钟内,驾车,制造业,1119,去小区商场,9时25分,14时41分,YSHY_5_1_010F_04,67,女性,b1291973-304a-40ff-94fb-8c328a69de95,b1291973-304a-40ff-94fb-8c328a69de95,old
杨浩政,男,42,已婚,高中,上班族,无车,15-30分钟,驾车,制造业,63,去工作地,8时0分,18时5分,YSHY_2_1_028F_04,42,男性,875cbab5-440d-46aa-8dfb-91718c7d84bc,875cbab5-440d-46aa-8dfb-91718c7d84bc,middle-aged
曹钊鹏,男,34,未婚,初中,上班族,无车,15-30分钟,骑车,住宿/餐饮,673,去工作地,7时41分,18时17分,YSHY_12_1_020F_01,34,男性,c519f98a-f5d6-4024-8a61-97ba199cc7fb,c519f98a-f5d6-4024-8a61-97ba199cc7fb,teenager
何珺,女,33,已婚,初中,上班族,无车,30-60分钟,驾车,卫生/公共安全,980,去工作地,7时32分,18时29分,YSHY_8_1_015F_02,33,女性,9a7e0722-d905-42ea-9dd2-5d054ac3efc8,9a7e0722-d905-42ea-9dd2-5d054ac3efc8,teenager
胡娜婷,女,3,未婚,小学及以下,未成年学生,无车,30-60分钟,步行,学生,494,去学校,7时24分,16时3分,YSHY_13_1_005F_02,3,女性,1d39adf8-f5be-4c4e-8d4e-92241a8e0717,1d39adf8-f5be-4c4e-8d4e-92241a8e0717,child
梁强,男,34,未婚,小学及以下,上班族,无车,15-30分钟,驾车,租赁/商务服务,1356,去工作地,7时15分,18时7分,YSHY_4_1_023F_03,34,男性,b49c8932-e4ea-4248-a8ba-db05cc854c29,b49c8932-e4ea-4248-a8ba-db05cc854c29,teenager
黄驰文,男,23,已婚,小学及以下,上班族,有车,15-30分钟,公共交通,制造业,64,去工作地,7时30分,17时49分,YSHY_1_1_025F_01,23,男性,fb4e5be8-7396-490a-a9f0-54b0da965264,fb4e5be8-7396-490a-a9f0-54b0da965264,teenager
沈洋俊,男,80,已婚,小学及以下,退休,无车,15分钟内,驾车,社会保障/公共管理,65,去小区商场,10时37分,15时48分,YSHY_10_1_008F_04,80,男性,6c40a4cf-4599-4953-849f-904d8f94494e,6c40a4cf-4599-4953-849f-904d8f94494e,old
谢柏,男,83,未婚,初中,退休,有车,15分钟内,公共交通,社会保障/公共管理,1482,去小区商场,9时22分,14时31分,YSHY_1_1_029F_02,83,男性,5116346c-a11b-4a78-95c9-df2be8d9ea6d,5116346c-a11b-4a78-95c9-df2be8d9ea6d,old
吴宗志,男,13,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,948,去学校,7时26分,17时31分,YSHY_13_1_016F_04,13,男性,15ecee80-ec2f-43e0-be50-b6903da82b3a,15ecee80-ec2f-43e0-be50-b6903da82b3a,child
冯涛勇,男,34,已婚,高中,自由职业,无车,15-30分钟,公共交通,教育,66,去小区公共场所,11时7分,15时10分,YSHY_8_1_010F_01,34,男性,57bb51d1-dc6f-4392-8862-8fbe5883c6b3,57bb51d1-dc6f-4392-8862-8fbe5883c6b3,teenager
任燕琴,女,34,未婚,小学及以下,上班族,有车,30-60分钟,驾车,制造业,1297,去工作地,8时7分,18时22分,YSHY_12_1_028F_04,34,女性,60949d05-d7a0-4529-bced-f7eba38d2a28,60949d05-d7a0-4529-bced-f7eba38d2a28,teenager
黄博光,男,41,已婚,初中,自由职业,有车,15分钟内,公共交通,社会保障/公共管理,67,去小区公共场所,11时51分,16时55分,YSHY_2_1_012F_03,41,男性,23fd4de4-68ab-42a8-b499-40520dea1ae4,23fd4de4-68ab-42a8-b499-40520dea1ae4,middle-aged
叶梅雪,女,27,未婚,高中,上班族,有车,30-60分钟,驾车,房地产,1483,去工作地,7时40分,18时28分,YSHY_11_1_023F_01,27,女性,aa46d5d5-c2a1-46f3-b844-dc913d9f5e64,aa46d5d5-c2a1-46f3-b844-dc913d9f5e64,teenager
王敏琳,女,1,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,906,去学校,7时29分,16时0分,YSHY_2_1_015F_01,1,女性,15db472a-4af0-486b-b926-3da4136af663,15db472a-4af0-486b-b926-3da4136af663,child
沈洋,男,32,已婚,小学及以下,上班族,有车,15分钟内,驾车,社会保障/公共管理,68,去工作地,7时49分,19时0分,YSHY_1_1_005F_03,32,男性,fe8754ac-a153-47a7-8619-f8107ad98cd5,fe8754ac-a153-47a7-8619-f8107ad98cd5,teenager
蒋馨霞,女,50,未婚,小学及以下,上班族,无车,15-30分钟,步行,文化/体育/娱乐,1484,去工作地,7时54分,18时24分,YSHY_2_1_015F_04,50,女性,b17351df-9b76-4d45-a836-164fca8e2a5b,b17351df-9b76-4d45-a836-164fca8e2a5b,middle-aged
袁天,男,34,已婚,大专,上班族,有车,30-60分钟,公共交通,社会保障/公共管理,69,去工作地,7时15分,17时27分,YSHY_11_1_017F_01,34,男性,b9cabb86-1006-4aaf-91e1-de1909894c40,b9cabb86-1006-4aaf-91e1-de1909894c40,teenager
张凛,男,9,未婚,小学及以下,未成年学生,无车,30-60分钟,公共交通,学生,1031,去学校,7时36分,15时55分,YSHY_5_1_018F_03,9,男性,5f49e105-cf18-48c1-97dd-4ef136458f78,5f49e105-cf18-48c1-97dd-4ef136458f78,child
袁骏,男,91,未婚,小学及以下,自由职业,有车,15-30分钟,驾车,制造业,-1,去小区公共场所,12时36分,16时8分,YSHY_9_1_027F_01,91,男性,57b1e7da-2e8f-4092-a622-ba338cef6a7c,57b1e7da-2e8f-4092-a622-ba338cef6a7c,old
吴勋健,男,41,未婚,初中,上班族,无车,15-30分钟,驾车,卫生/公共安全,491,去工作地,8时1分,18时43分,YSHY_9_1_006F_01,41,男性,b12e9e53-333f-4816-99bd-d824df54a5e4,b12e9e53-333f-4816-99bd-d824df54a5e4,middle-aged
董萍莹,女,51,未婚,初中,上班族,无车,60分钟以上,驾车,教育,1485,去工作地,7时32分,17时16分,YSHY_13_1_028F_02,51,女性,ebc7b921-665c-4e40-9e8f-6c534e541db1,ebc7b921-665c-4e40-9e8f-6c534e541db1,middle-aged
丁宗勇,男,34,未婚,初中,上班族,有车,15-30分钟,公共交通,卫生/公共安全,1486,去工作地,7时28分,19时17分,YSHY_1_1_016F_03,34,男性,d2d8c70d-de7f-4a0c-a707-d13ce4db0c94,d2d8c70d-de7f-4a0c-a707-d13ce4db0c94,teenager
余珊美,女,38,未婚,小学及以下,上班族,无车,30-60分钟,公共交通,制造业,1487,去工作地,8时3分,17时48分,YSHY_9_1_006F_01,38,女性,e6e9f6ad-dfea-447b-b4ad-73f6a1d3ca8f,e6e9f6ad-dfea-447b-b4ad-73f6a1d3ca8f,teenager
杜青珊,女,34,未婚,小学及以下,上班族,有车,30-60分钟,公共交通,信息/软件技术,1488,去工作地,7时25分,19时36分,YSHY_4_1_019F_03,34,女性,df7f4a44-994f-4f47-bc9a-292037fe736f,df7f4a44-994f-4f47-bc9a-292037fe736f,teenager
何萍梦,女,28,未婚,小学及以下,上班族,有车,15分钟内,驾车,卫生/公共安全,1399,去工作地,7时38分,17时38分,YSHY_11_1_021F_04,28,女性,e7bca2bf-c253-4d40-97cc-a3184291a34b,e7bca2bf-c253-4d40-97cc-a3184291a34b,teenager
郑航波,男,20,未婚,小学及以下,上班族,有车,15-30分钟,驾车,建筑,1489,去工作地,7时49分,18时26分,YSHY_7_1_004F_03,20,男性,4705e872-c054-46b6-a8fe-69723fe9b364,4705e872-c054-46b6-a8fe-69723fe9b364,teenager
周宇泽,男,22,未婚,小学及以下,上班族,无车,15-30分钟,驾车,交通运输/仓储/邮政,1369,去工作地,7时40分,17时57分,YSHY_1_1_021F_03,22,男性,7042b0df-4bbd-44aa-886f-8a89b113a6bf,7042b0df-4bbd-44aa-886f-8a89b113a6bf,teenager
周萍美,女,44,未婚,小学及以下,上班族,有车,15分钟内,其他,金融,1490,去工作地,7时42分,19时5分,YSHY_13_1_011F_04,44,女性,f5e15249-e36e-49c8-a6eb-1a6c6b11fbf8,f5e15249-e36e-49c8-a6eb-1a6c6b11fbf8,middle-aged
宋洋静,女,54,未婚,本科,上班族,有车,15分钟内,公共交通,金融,1491,去工作地,7时47分,17时31分,YSHY_8_1_009F_02,54,女性,bd464891-99bb-4442-b3e8-1a4c9f32bcd8,bd464891-99bb-4442-b3e8-1a4c9f32bcd8,middle-aged
邓琳,女,52,未婚,小学及以下,上班族,无车,60分钟以上,驾车,信息/软件技术,1492,去工作地,7时59分,18时27分,YSHY_2_1_012F_02,52,女性,33bc9fbd-2edd-48ab-b8a5-416e82de0e74,33bc9fbd-2edd-48ab-b8a5-416e82de0e74,middle-aged
邓松,男,47,已婚,小学及以下,上班族,无车,30-60分钟,其他,建筑,70,去工作地,7时12分,18时13分,YSHY_6_1_011F_02,47,男性,3519aee3-fb3e-4213-bc83-1dffbd377d67,3519aee3-fb3e-4213-bc83-1dffbd377d67,middle-aged
郑宇骏,男,38,未婚,小学及以下,上班族,无车,30-60分钟,驾车,社会保障/公共管理,1493,去工作地,7时24分,18时22分,YSHY_3_1_004F_04,38,男性,2674bc98-5236-4cc0-8645-510ead998fd7,2674bc98-5236-4cc0-8645-510ead998fd7,teenager
马玲茹,女,87,未婚,小学及以下,退休,无车,15分钟内,公共交通,卫生/公共安全,1494,去小区商场,9时5分,13时39分,YSHY_2_1_015F_04,87,女性,b352cd13-adf1-4bb1-94ed-d11301027f23,b352cd13-adf1-4bb1-94ed-d11301027f23,old
肖婷,女,39,未婚,高中,上班族,无车,60分钟以上,驾车,公共设施,887,去工作地,7时59分,18时15分,YSHY_12_1_010F_02,39,女性,f379e051-4cc3-46df-9f2d-eaed62481fb2,f379e051-4cc3-46df-9f2d-eaed62481fb2,teenager
董紫敏,女,65,已婚,小学及以下,退休,无车,15分钟内,驾车,社会保障/公共管理,291,去小区商场,8时47分,13时33分,YSHY_7_1_025F_03,65,女性,896c271f-2204-49c7-9918-054aba650cab,896c271f-2204-49c7-9918-054aba650cab,old
徐莹,女,4,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,874,去学校,7时33分,16时2分,YSHY_4_1_027F_04,4,女性,15688cc1-29ce-485b-b185-cd01a7622542,15688cc1-29ce-485b-b185-cd01a7622542,child
朱敏馨,女,32,未婚,小学及以下,上班族,有车,15-30分钟,其他,卫生/公共安全,1495,去工作地,7时52分,17时40分,YSHY_9_1_011F_04,32,女性,49133434-9e6c-4ee9-bf2e-32c0c37c1f76,49133434-9e6c-4ee9-bf2e-32c0c37c1f76,teenager
曹志,男,56,已婚,大专,上班族,有车,15-30分钟,公共交通,采矿业,71,去工作地,7时49分,18时43分,YSHY_9_1_009F_01,56,男性,5c6361bb-218b-4c4c-8473-823e8f656a78,5c6361bb-218b-4c4c-8473-823e8f656a78,old
曾松,男,28,未婚,高中,自由职业,有车,15-30分钟,驾车,公共设施,1496,去小区公共场所,12时19分,17时7分,YSHY_9_1_002F_02,28,男性,a144f949-802e-42c0-aa21-d6224c60e8a5,a144f949-802e-42c0-aa21-d6224c60e8a5,teenager
杜飞,男,52,未婚,初中,自由职业,无车,15-30分钟,公共交通,制造业,1482,去小区公共场所,11时27分,15时56分,YSHY_1_1_029F_02,52,男性,0829974a-41e5-45ec-a7fe-f867b7902bd0,0829974a-41e5-45ec-a7fe-f867b7902bd0,middle-aged
袁洁艳,女,56,未婚,小学及以下,退休,有车,15分钟内,公共交通,租赁/商务服务,1497,去小区商场,11时8分,16时37分,YSHY_3_1_030F_01,56,女性,d3fb0cb5-1edf-4f9c-96b1-d0fc63d98a51,d3fb0cb5-1edf-4f9c-96b1-d0fc63d98a51,old
朱雅敏,女,26,已婚,小学及以下,上班族,有车,30-60分钟,驾车,制造业,899,去工作地,7时44分,17时48分,YSHY_11_1_025F_03,26,女性,4f6263c2-e313-4313-ac59-21c3dd2decb9,4f6263c2-e313-4313-ac59-21c3dd2decb9,teenager
徐勇,男,3,未婚,小学及以下,未成年学生,无车,60分钟以上,步行,学生,436,去学校,7时30分,15时56分,YSHY_11_1_024F_03,3,男性,2cfc80bd-15f0-4855-b530-1defb064a7a9,2cfc80bd-15f0-4855-b530-1defb064a7a9,child
朱琳琴,女,73,未婚,小学及以下,退休,有车,15分钟内,驾车,卫生/公共安全,1498,去小区商场,8时40分,13时34分,YSHY_9_1_010F_03,73,女性,6306a246-5e81-474e-af50-e3c079cb3197,6306a246-5e81-474e-af50-e3c079cb3197,old
潘明武,男,26,未婚,小学及以下,自由职业,无车,15分钟内,驾车,制造业,1499,去小区公共场所,11时58分,16时53分,YSHY_4_1_013F_03,26,男性,29d7da01-791d-4431-84c5-29b55fc109b7,29d7da01-791d-4431-84c5-29b55fc109b7,teenager
朱志光,男,64,未婚,小学及以下,退休,有车,15分钟内,驾车,建筑,1500,去小区商场,11时26分,16时22分,YSHY_13_1_003F_03,64,男性,506bccf8-fff2-4cee-bd1f-723ff7227b87,506bccf8-fff2-4cee-bd1f-723ff7227b87,old
曹晓,男,42,未婚,小学及以下,上班族,有车,30-60分钟,驾车,社会保障/公共管理,1501,去工作地,7时37分,18时29分,YSHY_9_1_008F_03,42,男性,6a60a4c4-7ac5-4105-92ae-10c0cbabb612,6a60a4c4-7ac5-4105-92ae-10c0cbabb612,middle-aged
董慧洁,女,23,未婚,初中,上班族,有车,15-30分钟,公共交通,卫生/公共安全,1502,去工作地,7时35分,18时13分,YSHY_4_1_027F_02,23,女性,4252ec47-b365-43b5-b884-20cd085d5f51,4252ec47-b365-43b5-b884-20cd085d5f51,teenager
蔡峰,男,92,未婚,初中,退休,无车,15分钟内,驾车,金融,1503,去小区商场,11时50分,16时44分,YSHY_8_1_009F_04,92,男性,51ca2097-855d-4664-9fbf-b7d18b74eaae,51ca2097-855d-4664-9fbf-b7d18b74eaae,old
陈杰波,男,53,未婚,小学及以下,上班族,无车,60分钟以上,公共交通,卫生/公共安全,1504,去工作地,7时17分,17时55分,YSHY_3_1_016F_03,53,男性,ba4895eb-ef18-4882-b889-01b93ea0465c,ba4895eb-ef18-4882-b889-01b93ea0465c,middle-aged
